cab,9737661,8528,47,164
cac,9245461,9069,8,31
cad,9697332,9613,199,298
cae,9864812,9543,171,252
caf,9957589,8837,60,99
cag,9979677,9023,150,217
cba,9758704,9492,5,9
cbb,9807303,8964,105,162
cbc,9953100,8085,165,242
cbd,9820783,9980,164,233
cbe,9813165,9750,112,255
cbf,9962889,8000,43,87
cbg,9939051,10284,31,139
cca,9831763,10052,138,204
ccb,9969329,8087,23,46
ccc,9838641,8942,20,35
ccd,9769441,9669,261,416
cce,9876773,7469,230,378
ccf,9953584,7686,80,189
ccg,9935722,8050,97,179
cda,9978312,8446,356,585
cdb,9608304,9499,120,277
cdc,9926754,9981,82,119
cdd,9920048,8917,114,231
cde,9997593,8360,6,29
cdf,9358643,8696,134,228
cdg,9991787,9277,239,445
cea,9605233,9875,7,24
ceb,9744797,7291,69,179
cec,9977252,8423,406,723
ced,9709152,8501,141,382
cee,9835642,8928,56,110
cef,9898650,8594,40,104
ceg,9883961,8940,144,358
cfa,9733077,9597,5,6
cfb,9637735,8657,14,38
cfc,9745319,9136,298,695
cfd,9835993,9650,5,10
cfe,9582719,8941,82,204
cff,9981446,9970,17,51
cfg,9769988,9264,118,284
cga,9888079,9472,158,218
cgb,9898502,8702,98,299
cgc,9923748,9857,27,96
cgd,9858924,9244,152,315
cge,9960616,8599,87,239
cgf,9972326,8057,216,330
cgg,9952053,8132,82,135
daa,9991789,9012,33,87
dab,9844387,8959,255,402
dac,9867179,9811,48,153
dad,9968576,9411,55,179
dae,9870146,8942,56,137
daf,9791005,9382,31,78
dag,9885189,11353,144,350
dba,9989906,8512,114,212
dbb,9953034,7904,74,152
dbc,9599725,8659,134,257
dbd,9890241,9912,88,144
dbe,9823445,8498,88,295
dbf,9988870,9373,120,278
dbg,9391520,10234,301,584
dca,9515153,10363,73,123
dcb,9566900,7873,171,301
dcc,9915302,8167,30,139
dcd,9829838,8588,148,284
dce,9898814,9457,49,79
dcf,9809136,9138,305,673
dcg,9884383,8458,15,60
dda,9983946,10370,233,431
ddb,9876600,8633,95,221
ddc,9953823,7774,77,279
ddd,9740562,7981,284,610
dde,9862031,9815,14,60
ddf,9959908,9094,67,224
ddg,9929682,8944,131,355
dea,9777584,9236,253,496
deb,9830479,9187,8,29
dec,9619485,8841,206,298
ded,9998955,8268,122,275
dee,9968663,8236,163,305
def,9946655,9254,71,136
deg,9811108,9516,13,39
dfa,9959494,9365,26,63
dfb,9935966,8453,173,313
dfc,9809194,9855,25,60
dfd,9997814,6984,240,457
dfe,9789680,8798,211,335
dff,9979828,11270,200,332
dfg,9833064,8680,236,423
dga,9964282,9223,48,134
dgb,9723867,9346,225,357
dgc,9844157,8319,102,188
dgd,9994351,8199,179,271
dge,9741937,10026,45,129
dgf,9707935,11151,113,205
dgg,9719090,8423,5,5
eaa,9807525,8962,19,44
eab,9922716,8251,81,136
eac,9600652,8470,86,214
ead,9740572,9010,139,275
eae,9739029,8397,69,254
eaf,9522113,8026,98,154
eag,9871996,9284,340,531
eba,9865895,10178,39,55
ebb,9685721,8287,199,325
ebc,9619776,10204,45,99
ebd,9836236,8995,180,304
ebe,9905068,10147,126,203
ebf,9725069,8396,165,366
ebg,9807327,7993,186,418
eca,9889947,8931,161,231
ecb,9997833,10221,474,945
ecc,9929658,7665,8,17
ecd,9926173,9743,149,255
ece,9786497,11253,311,641
ecf,9919582,10093,8,24
ecg,9548510,9627,62,139
eda,9909682,7341,190,255
edb,9959375,7017,106,206
edc,9971746,10889,63,122
edd,9610701,7100,43,73
ede,9814778,9398,172,302
edf,9466286,9849,167,267
edg,9998124,10629,93,146
eea,9855564,8742,5,8
eeb,9934322,9812,8,20
eec,9496421,7915,9,25
eed,9796355,8867,175,328
eee,9910481,6847,13,43
eef,9961138,6846,101,179
eeg,9853639,7915,130,213
efa,9912847,9017,285,485
efb,9928481,8434,20,57
efc,9885106,8015,170,366
efd,9990697,8466,273,480
efe,9965867,8181,166,293
eff,9867629,7924,72,192
efg,9737263,7930,37,56
ega,9918610,9249,128,299
egb,9904940,8192,58,187
egc,9957757,7672,13,53
egd,9641426,9773,89,138
ege,9864710,9983,210,410
egf,9334472,10757,174,276
egg,9883059,7598,98,138
faa,9949667,9836,94,203
fab,9372198,10084,8,25
fac,9845481,7991,257,387
fad,9370543,7968,14,36
fae,9853958,9063,211,314
faf,9893024,8119,310,489
fag,9982033,7664,100,189
fba,9977012,7727,70,189
fbb,9899556,9454,271,469
fbc,9996083,9509,92,199
fbd,9815837,9059,30,78
fbe,9962933,8565,21,69
fbf,9879427,8890,8,21
fbg,9875698,8057,183,407
fca,9916869,6997,90,281
fcb,9892552,8969,70,170
fcc,9826828,9076,49,117
fcd,9682817,9700,58,149
fce,9819492,9868,12,40
fcf,9817812,9051,49,87
fcg,9926896,8407,89,128
fda,9703308,9070,19,44
fdb,9970640,8038,39,85
fdc,9702108,8020,124,338
fdd,9848795,9195,107,238
fde,9693467,9274,180,309
fdf,9918425,7585,343,667
fdg,9894638,8314,6,13
fea,9712958,9201,92,128
feb,9786678,8976,56,120
fec,9348186,10187,113,230
fed,9679839,8780,44,116
fee,9668383,8994,5,11
fef,9951752,7873,12,27
feg,9545922,10981,149,224
ffa,9925439,8004,71,156
ffb,9874906,8764,330,587
ffc,9724437,9849,83,148
ffd,9921865,8520,83,228
ffe,9827426,9797,200,412
fff,9902958,11693,84,180
ffg,9822257,8541,191,257
fga,9796327,8588,132,267
fgb,9703849,9584,36,105
fgc,9854005,9042,8,16
fgd,9945990,8173,22,49
fge,9981116,8323,199,284
fgf,9801036,8505,175,248
fgg,9423520,8760,125,243
gaa,9930618,7295,187,270
gab,9967761,10304,218,563
gac,9910513,8592,36,103
gad,9885426,8285,123,215
gae,9948300,8697,168,283
gaf,9894367,9361,12,43
gag,9863755,7684,25,132
gba,9839225,8124,114,269
gbb,9675005,9506,17,61
gbc,9970586,8911,106,227
gbd,9829706,10521,102,195
gbe,9916597,7890,216,358
gbf,9822621,9098,181,350
gbg,9965369,7891,98,258
gca,9899366,7929,76,196
gcb,9922008,9402,67,221
gcc,9668537,9860,7,31
gcd,9751998,9137,69,174
gce,9683167,9441,113,256
gcf,9880977,7919,170,260
gcg,9701476,8308,17,57
gda,9945484,8807,5,7
gdb,9991253,7851,293,526
gdc,9788200,8371,52,139
gdd,9665572,8799,244,589
gde,9991881,8234,20,63
gdf,9658886,9435,89,241
gdg,9889582,9367,116,255
gea,9787610,7925,95,202
geb,9758031,8785,14,27
gec,9971613,9365,164,361
ged,9356002,8493,5,10
gee,9853415,9560,157,228
gef,9764810,9931,34,108
geg,9864306,9201,79,118
gfa,9978677,9021,166,250
gfb,9328222,9120,80,203
gfc,9945784,8538,182,263
gfd,9925645,8546,135,302
gfe,9996206,7764,48,179
gff,9942225,9664,211,331
gfg,9983309,7996,109,259
gga,9972119,7779,40,68
ggb,9935667,9067,261,459
ggc,9875231,8361,173,235
ggd,9732645,7426,183,369
gge,9935330,9303,367,758
ggf,9759639,7666,5,10
ggg,9950735,8930,17,37
